family,scope,seed,head,head_label,pr_auc,exact_f1,tolerated_f1,union_f1,selected_threshold,selected_variant
Aurora,global,42,linear,linear probe,0.0003348567488868777,0.0,0.0,0.0,0.05,identity
Aurora,global,42,pixel_mlp,pixel MLP head,0.00019714837150204618,0.0,0.0,0.0,0.05,identity
Aurora,global,42,shallow,shallow spatial adapter,0.00018674293650733592,0.000488559522980547,0.07455794376918072,0.11326006464883925,0.0002,erode_r1
Aurora,global,42,shallow_wide,wide shallow adapter,0.00031842922623288915,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.0002,identity
Aurora,fire_prone,42,constant,constant prior head,0.02093558282208589,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
Aurora,fire_prone,42,linear,linear probe,0.029276084230474682,0.0,0.0,0.0,0.05,identity
Aurora,fire_prone,42,pixel_mlp,pixel MLP head,0.014245009108357357,0.0,0.0,0.0,0.05,identity
Aurora,fire_prone,42,shallow,shallow spatial adapter,0.015570077058842982,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
Aurora,fire_prone,42,shallow_wide,wide shallow adapter,0.03418005160958568,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
Aurora,global,7,constant,constant prior head,0.00024254792826221397,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.0002,identity
Aurora,global,7,linear,linear probe,0.0003365633944686796,0.0,0.0,0.0,0.0005,identity
Aurora,global,7,pixel_mlp,pixel MLP head,0.00029853008679597343,0.0,0.0,0.0,0.05,identity
Aurora,global,7,shallow,shallow spatial adapter,0.00020659887203040373,0.0005003009842356716,0.07628187002214996,0.11582502914978784,0.0002,erode_r1
Aurora,global,7,shallow_wide,wide shallow adapter,0.00017379366901207154,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.0002,identity
Aurora,fire_prone,7,constant,constant prior head,0.02093558282208589,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
Aurora,fire_prone,7,linear,linear probe,0.03354322770872274,0.0,0.0,0.0,0.0005,identity
Aurora,fire_prone,7,pixel_mlp,pixel MLP head,0.023680430289421933,0.0,0.0,0.0,0.05,identity
